Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2015440000804,485683,133000,-0.777943,51.089923,44,1,2,1,01/01/2015,5,07:30,497,E10000014,3,3,3,70,0,-1,-1,0,0,0,6,1,2,0,0,2,1,E01022585
2015440003143,470464,110854,-0.999499,50.892880,44,3,2,1,04/01/2015,1,03:24,495,E10000014,2,3,3,70,0,-1,-1,0,0,0,6,1,1,0,0,2,1,E01022966
2015440006077,472193,119609,-0.973188,50.971382,44,2,2,3,06/01/2015,3,21:15,497,E10000014,3,3,3,70,0,-1,-1,0,0,0,6,4,1,0,0,2,1,E01022592
2015440007567,485836,133096,-0.775736,51.090763,44,3,1,1,08/01/2015,5,07:10,497,E10000014,3,3,3,70,0,-1,-1,0,0,0,6,2,2,0,0,2,1,E01022585
2015440011430,477238,129401,-0.899268,51.058764,44,2,2,1,11/01/2015,1,16:19,497,E10000014,3,3,1,70,1,4,4,3006,0,0,4,1,1,0,0,2,1,E01022631
2015440023972,479216,131199,-0.870657,51.074660,44,3,2,1,22/01/2015,5,07:10,497,E10000014,3,3,7,70,5,4,3,3,0,0,7,1,2,0,0,2,1,E01022642
2015440025403,473129,121347,-0.959511,50.986890,44,3,1,2,23/01/2015,6,11:55,497,E10000014,3,3,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01022592
2015440036008,473784,124412,-0.949559,51.014363,44,2,2,3,31/01/2015,7,21:10,497,E10000014,3,3,3,70,0,-1,-1,0,0,0,6,1,1,0,0,2,1,E01022619
2015440036034,480261,131339,-0.855713,51.075773,44,3,2,1,30/01/2015,6,21:10,497,E10000014,3,3,3,70,0,-1,-1,0,0,0,6,8,4,0,0,2,1,E01022642
2015440036754,470252,112926,-1.002115,50.911535,44,2,2,1,01/02/2015,1,14:35,497,E10000014,3,3,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01022614
2015440043837,484728,132619,-0.791665,51.086640,44,2,3,1,07/02/2015,7,08:19,497,E10000014,3,3,3,70,5,4,3,3,0,0,1,1,4,0,0,2,1,E01022585
2015440046761,473682,122732,-0.951353,50.999272,44,3,3,2,09/02/2015,2,15:45,497,E10000014,3,3,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01022620
2015440052422,469564,112078,-1.012061,50.903994,44,3,1,1,13/02/2015,6,23:10,497,E10000014,3,3,6,30,3,4,6,0,0,8,4,2,2,0,0,1,1,E01032615
2015440061480,469449,109042,-1.014272,50.876711,44,3,2,1,21/02/2015,7,19:23,495,E10000014,2,3,6,50,1,4,4,2150,0,0,6,1,1,0,0,2,1,E01022974
2015440068921,484486,132570,-0.795131,51.086235,44,3,2,2,27/02/2015,6,17:20,497,E10000014,3,3,7,60,5,4,3,3,0,0,7,1,1,0,0,2,1,E01022585
2015440093719,472136,119519,-0.974018,50.970580,44,3,1,1,19/03/2015,5,13:58,497,E10000014,3,3,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01022592
2015440100163,476869,128735,-0.904674,51.052826,44,2,2,1,24/03/2015,3,16:35,497,E10000014,3,3,3,70,0,-1,-1,0,0,7,1,1,1,0,0,2,1,E01022617
2015440109030,473637,122995,-0.951941,51.001642,44,3,3,1,01/04/2015,4,06:02,497,E10000014,3,3,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01022620
2015440135451,469284,111407,-1.016169,50.897995,44,3,2,1,22/04/2015,4,16:00,495,E10000014,3,3,6,30,3,4,6,0,0,8,1,1,1,0,0,1,1,E01022920
2015440138250,471398,116515,-0.985115,50.943663,44,2,2,2,24/04/2015,6,15:45,497,E10000014,3,3,3,70,5,4,3,3,0,0,1,1,1,0,0,2,1,E01022588
2015440140202,475093,124998,-0.930781,51.019463,44,3,1,1,26/04/2015,1,13:13,497,E10000014,3,3,6,60,5,4,3,3,0,0,1,1,1,0,0,2,1,E01022625
2015440140928,471738,118182,-0.979948,50.958609,44,3,3,2,27/04/2015,2,08:20,497,E10000014,3,3,7,70,5,4,6,0,0,0,1,1,1,0,0,2,1,E01022589
2015440151944,470346,110541,-1.001237,50.890080,44,3,1,2,06/05/2015,4,08:30,495,E10000014,2,3,3,70,0,-1,-1,0,0,0,1,4,2,0,0,2,1,E01022966
2015440176517,470505,111135,-0.998862,50.895401,44,2,1,1,25/05/2015,2,23:11,495,E10000014,2,3,3,70,0,-1,-1,0,0,0,6,1,1,0,0,2,1,E01022918
2015440177563,477209,129455,-0.899671,51.059254,44,3,2,2,26/05/2015,3,20:01,497,E10000014,3,3,1,70,1,4,4,3006,0,0,1,1,1,0,0,2,1,E01022631
2015440178337,475084,124933,-0.930923,51.018879,44,2,3,2,27/05/2015,4,13:11,497,E10000014,3,3,7,70,5,4,3,3,0,0,1,1,1,0,0,2,1,E01022625
2015440188561,479977,131266,-0.859782,51.075157,44,3,2,1,04/06/2015,5,18:38,497,E10000014,3,3,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,2,E01022642
2015440199214,469610,109027,-1.011987,50.876557,44,3,2,1,12/06/2015,6,20:00,495,E10000014,2,3,7,70,5,4,4,2150,0,0,1,1,1,0,0,2,2,E01022901
2015440200047,469357,111577,-1.015099,50.899514,44,2,2,4,13/06/2015,7,12:45,495,E10000014,3,3,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01022920
2015440200967,476966,126978,-0.903663,51.037017,44,3,2,1,14/06/2015,1,08:30,497,E10000014,3,3,6,60,1,4,6,0,0,0,1,1,1,0,0,2,1,E01022617
2015440207568,479183,131171,-0.871134,51.074413,44,3,1,1,19/06/2015,6,09:35,497,E10000014,3,3,3,70,5,4,3,3,0,0,1,1,1,0,0,2,1,E01022642
2015440216123,469282,111404,-1.016198,50.897968,44,2,2,1,25/06/2015,5,17:57,495,E10000014,3,3,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01022920
2015440216199,471408,116617,-0.984953,50.944579,44,3,2,1,25/06/2015,5,19:01,497,E10000014,3,3,6,60,3,4,6,0,0,0,1,1,1,0,0,2,1,E01022588
2015440224817,469839,112563,-1.008058,50.908321,44,3,1,2,02/07/2015,5,10:30,497,E10000014,3,3,6,30,6,2,2,2149,0,5,1,1,1,0,0,1,1,E01022610
2015440267049,470955,115812,-0.991556,50.937397,44,2,1,1,03/08/2015,2,13:57,497,E10000014,3,3,3,70,0,-1,-1,0,0,0,1,1,1,0,2,2,1,E01022589
2015440269921,474338,124714,-0.941601,51.017007,44,3,2,1,05/08/2015,4,19:07,497,E10000014,3,3,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01022619
2015440273775,469841,112563,-1.008029,50.908321,44,3,2,2,08/08/2015,7,20:40,497,E10000014,3,3,6,30,6,2,6,0,0,0,4,1,1,0,0,1,1,E01022610
2015440297658,470487,114192,-0.998528,50.922889,44,2,1,1,27/08/2015,5,16:50,497,E10000014,3,3,6,30,1,4,6,0,0,0,1,1,1,0,0,1,1,E01022606
2015440316089,469474,111887,-1.013377,50.902288,44,3,2,1,11/09/2015,6,23:09,495,E10000014,3,3,6,30,3,4,6,0,0,0,5,1,1,0,0,1,1,E01032617
2015440355267,470367,112434,-1.000574,50.907098,44,3,2,1,13/10/2015,3,07:53,497,E10000014,2,3,6,50,1,4,4,2149,0,0,1,1,1,0,0,2,2,E01032615
2015440365242,469364,111602,-1.014995,50.899738,44,3,1,1,20/10/2015,3,20:25,495,E10000014,3,3,6,30,0,-1,-1,0,0,8,4,1,1,0,0,1,1,E01022920
2015440366903,469833,112555,-1.008144,50.908250,44,3,2,1,22/10/2015,5,07:43,497,E10000014,3,3,6,30,6,2,4,2149,0,5,1,1,1,0,0,1,1,E01022610
2015440374218,471836,119119,-0.978369,50.967021,44,3,1,2,27/10/2015,3,23:05,497,E10000014,3,3,3,70,0,-1,-1,0,0,0,6,2,2,0,0,2,1,E01022592
2015440390649,470484,111961,-0.999001,50.902831,44,3,3,2,10/11/2015,3,07:18,497,E10000014,2,3,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01032615
2015440401626,473376,121787,-0.955904,50.990815,44,3,5,3,18/11/2015,4,19:10,497,E10000014,3,3,3,70,0,-1,-1,0,0,0,6,4,1,0,0,2,1,E01022592
2015440407893,470460,112457,-0.999247,50.907293,44,3,2,1,24/11/2015,3,08:00,497,E10000014,2,3,3,70,0,-1,-1,0,0,0,1,2,2,0,0,2,1,E01022610
2015440410706,471615,117436,-0.981846,50.951917,44,2,3,1,26/11/2015,5,08:20,497,E10000014,3,3,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01022589
2015440411468,469266,111362,-1.016434,50.897592,44,3,2,1,26/11/2015,5,16:50,495,E10000014,3,3,6,30,8,4,6,0,0,4,4,1,1,0,0,1,1,E01022920
2015440426463,470136,112836,-1.003782,50.910740,44,3,2,1,07/12/2015,2,14:58,497,E10000014,3,3,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01022614
2015450024971,487224,134028,-0.755697,51.098933,45,3,1,1,14/05/2015,5,13:07,517,E10000030,3,3,3,70,0,-1,-1,0,0,0,1,2,2,0,0,1,1,E01030929
2015450030314,488474,135141,-0.737577,51.108747,45,3,3,1,07/10/2015,4,15:35,517,E10000030,3,3,3,70,0,-1,-1,0,0,0,1,4,2,0,0,2,1,E01030929
2015450030449,487665,134446,-0.749299,51.102623,45,3,1,1,29/09/2015,3,16:21,517,E10000030,3,3,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01030929
2015450035561,488065,134899,-0.743477,51.106635,45,2,1,1,04/12/2015,6,11:47,517,E10000030,3,3,1,70,1,4,3,3,0,0,1,1,1,0,0,2,1,E01030929
2015450036397,488733,135287,-0.733843,51.110020,45,3,1,1,13/12/2015,1,21:15,517,E10000030,3,3,3,70,0,-1,-1,0,0,0,4,1,1,0,0,2,1,E01030929
