"Key","Result"
"TotalAccidentsPerYear",54
"TotalAccidentsOnAWeekday",43
"TotalAccidentsOnAWeekend",11
"AccidentsOnAWeekdayPercentageChance_All_Year",11.78%
"AccidentsOnAWeekendPercentageChance_All_Year",3.01%
"Accidents7To8AmWeekday",6
"Accidents8To9AmWeekday",6
"Accidents7AmTo8AmAsPercentageOfCommuterDays",2.37%
"Accidents8AmTo9AmAsPercentageOfCommuterDays",2.37%
"Accidents7AmTo9AmAsPercentageOfCommuterDays",4.74%
"Accidents4To5PmWeekday",6
"Accidents5To6PmWeekday",2
"Accidents4pmTo5PmAsPercentageOfCommuterDays",2.37%
"Accidents5pmTo6PmAsPercentageOfCommuterDays",0.79%
"Accidents4pmTo6PmAsPercentageOfCommuterDays",3.16%
"AccidentsInWeekdayCommuterHours",19
"AccidentsInWeekdayCommuterHoursAsPercentageOfCommuterDays",7.51%
"MostLikelyDayForAnAccident",Thursday
"MostLikelyDayForAnAccidentInWeekdayCommuterHours",Friday
"AccidentsTotal_Autumn",12
"Accidents_PercentageChanceVsDays_Autumn",13.33%
"Accidents7To8AmWeekday_Autumn",3
"Accidents8To9AmWeekday_Autumn",2
"Accidents7To8AmWeekday_PercentageChanceVsCommuterDays_Autumn",4.62%
"Accidents8To9AmWeekday_PercentageChanceVsCommuterDays_Autumn",3.08%
"Accidents7To9AmWeekday_PercentageChanceVsCommuterDays_Autumn",7.69%
"Accidents4To5PmWeekday_Autumn",2
"Accidents5To6PmWeekday_Autumn",0
"Accidents4To5PmWeekday_PercentageChanceVsCommuterDays_Autumn",3.08%
"Accidents5To6PmWeekday_PercentageChanceVsCommuterDays_Autumn",0.00%
"Accidents4To6PmWeekday_PercentageChanceVsCommuterDays_Autumn",3.08%
"AccidentsWeekdayAllCommuterHours_Autumn",7
"AccidentsWeekdayAllCommuterHours_PercentageChanceVsCommuterDays_Autumn",10.77%
"AccidentsTotal_Winter",18
"Accidents_PercentageChanceVsDays_Winter",20.45%
"Accidents7To8AmWeekday_Winter",3
"Accidents8To9AmWeekday_Winter",0
"Accidents7To8AmWeekday_PercentageChanceVsCommuterDays_Winter",4.84%
"Accidents8To9AmWeekday_PercentageChanceVsCommuterDays_Winter",0.00%
"Accidents7To9AmWeekday_PercentageChanceVsCommuterDays_Winter",4.84%
"Accidents4To5PmWeekday_Winter",0
"Accidents5To6PmWeekday_Winter",1
"Accidents4To5PmWeekday_PercentageChanceVsCommuterDays_Winter",0.00%
"Accidents5To6PmWeekday_PercentageChanceVsCommuterDays_Winter",1.61%
"Accidents4To6PmWeekday_PercentageChanceVsCommuterDays_Winter",1.61%
"AccidentsWeekdayAllCommuterHours_Winter",4
"AccidentsWeekdayAllCommuterHours_PercentageChanceVsCommuterDays_Winter",6.45%
"TotalAccidentsWhereConditionsAreKnown",54
"TotalAccidentsInWetDampSnowOrFrostAll",11
"AccidentsInWetDampSnowOrFrostAsPercentageOfAllAccidentsWhereConditionsKnown",20.37%
"CommuterHoursAccidentsWhereConditionsAreKnown",19
"CommuterHoursAccidentsInWetDampSnowOrFrost",5
"CommuterHoursAccidentsInWetDampSnowOrFrostAsPercentageOfAllCommuterHoursAccidents",26.32%
"MostCommonVehicle1MovementInAccidents",GoingAheadOther
"MostCommonVehicle1MovementInCommuterAccidents",GoingAheadOther
"MostCommonVehicle2MovementInAccidents",GoingAheadOther
"MostCommonVehicle2MovementInCommuterAccidents",GoingAheadOther
"MostCommonVehicle1PoIInAccidents",Front
"MostCommonVehicle1PoIInCommuterAccidents",Front
"MostCommonVehicle2PoIInAccidents",Front
"MostCommonVehicle2PoIInCommuterAccidents",Front
"MostCommonVehicle1JunctionLocInAccidents",NotAtOrWithin20MetresOfJunction
"MostCommonVehicle1JunctionLocInCommuterAccidents",NotAtOrWithin20MetresOfJunction
"MostCommonVehicle2JunctionLocInAccidents",NotAtOrWithin20MetresOfJunction
"MostCommonVehicle2JunctionLocInCommuterAccidents",NotAtOrWithin20MetresOfJunction
"MostCommonVehicle1JourneyPurposeInAccidents",NotKnown
"MostCommonVehicle1JourneyPurposeInCommuterAccidents",CommutingToFromWork
"MostCommonVehicle2JourneyPurposeInAccidents",NotKnown
"MostCommonVehicle2JourneyPurposeInCommuterAccidents",CommutingToFromWork
"TotalNumberOfCommuterHoursAccidentsWhereSeverityKnown",19
"TotalSeriousAccidentsPerYear",15
"TotalSeriousAccidentsPerYearCommuterHours",4
"PercentageOfAllAccidentsThatAreSerious",27.78%
"PercentageOfCommuterHoursAccidentsThatAreSerious",21.05%
"TotalFatalAccidentsPerYear",1
"TotalFatalAccidentsPerYearCommuterHours",1
"PercentageOfAllAccidentsThatAreFatal",1.85%
"PercentageOfCommuterHoursAccidentsThatAreFatal",5.26%
"TotalVehicle1DriverAges_Commuter",758
"TotalNumberOfVehicle1DriverAges_Commuter",17
"AverageAgeVehicle1Driver_Commuter",44.588235294117647058823529412
"TotalVehicle2DriverAges_Commuter",551
"TotalNumberOfVehicle2DriverAges_Commuter",14
"AverageAgeVehicle2Driver_Commuter",39.357142857142857142857142857
