"Key","Result"
"TotalAccidentsPerYear",89
"TotalAccidentsOnAWeekday",63
"TotalAccidentsOnAWeekend",26
"AccidentsOnAWeekdayPercentageChance_All_Year",17.26%
"AccidentsOnAWeekendPercentageChance_All_Year",7.12%
"Accidents7To8AmWeekday",4
"Accidents8To9AmWeekday",3
"Accidents7AmTo8AmAsPercentageOfCommuterDays",1.58%
"Accidents8AmTo9AmAsPercentageOfCommuterDays",1.19%
"Accidents7AmTo9AmAsPercentageOfCommuterDays",2.77%
"Accidents4To5PmWeekday",10
"Accidents5To6PmWeekday",7
"Accidents4pmTo5PmAsPercentageOfCommuterDays",3.95%
"Accidents5pmTo6PmAsPercentageOfCommuterDays",2.77%
"Accidents4pmTo6PmAsPercentageOfCommuterDays",6.72%
"AccidentsInWeekdayCommuterHours",25
"AccidentsInWeekdayCommuterHoursAsPercentageOfCommuterDays",9.88%
"MostLikelyDayForAnAccident",Friday
"MostLikelyDayForAnAccidentInWeekdayCommuterHours",Wednesday
"AccidentsTotal_Autumn",17
"Accidents_PercentageChanceVsDays_Autumn",18.89%
"Accidents7To8AmWeekday_Autumn",0
"Accidents8To9AmWeekday_Autumn",0
"Accidents7To8AmWeekday_PercentageChanceVsCommuterDays_Autumn",0.00%
"Accidents8To9AmWeekday_PercentageChanceVsCommuterDays_Autumn",0.00%
"Accidents7To9AmWeekday_PercentageChanceVsCommuterDays_Autumn",0.00%
"Accidents4To5PmWeekday_Autumn",2
"Accidents5To6PmWeekday_Autumn",1
"Accidents4To5PmWeekday_PercentageChanceVsCommuterDays_Autumn",3.08%
"Accidents5To6PmWeekday_PercentageChanceVsCommuterDays_Autumn",1.54%
"Accidents4To6PmWeekday_PercentageChanceVsCommuterDays_Autumn",4.62%
"AccidentsWeekdayAllCommuterHours_Autumn",5
"AccidentsWeekdayAllCommuterHours_PercentageChanceVsCommuterDays_Autumn",7.69%
"AccidentsTotal_Winter",17
"Accidents_PercentageChanceVsDays_Winter",19.32%
"Accidents7To8AmWeekday_Winter",0
"Accidents8To9AmWeekday_Winter",1
"Accidents7To8AmWeekday_PercentageChanceVsCommuterDays_Winter",0.00%
"Accidents8To9AmWeekday_PercentageChanceVsCommuterDays_Winter",1.61%
"Accidents7To9AmWeekday_PercentageChanceVsCommuterDays_Winter",1.61%
"Accidents4To5PmWeekday_Winter",1
"Accidents5To6PmWeekday_Winter",1
"Accidents4To5PmWeekday_PercentageChanceVsCommuterDays_Winter",1.61%
