Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
201542I060303,582463,205173,0.639887,51.715603,42,3,3,1,13/03/2015,6,14:30,458,E10000012,3,414,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01021913
2015440000804,485683,133000,-0.777943,51.089923,44,1,2,1,01/01/2015,5,07:30,497,E10000014,3,3,3,70,0,-1,-1,0,0,0,6,1,2,0,0,2,1,E01022585
2015440003143,470464,110854,-0.999499,50.892880,44,3,2,1,04/01/2015,1,03:24,495,E10000014,2,3,3,70,0,-1,-1,0,0,0,6,1,1,0,0,2,1,E01022966
201542I060403,582455,214936,0.644892,51.803292,42,3,3,3,09/03/2015,2,09:40,451,E10000012,4,1389,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01021416
201542I060503,542320,207264,0.060103,51.746006,42,3,2,1,04/03/2015,4,16:00,456,E10000012,6,0,6,60,9,4,4,181,0,0,1,1,1,0,0,1,2,E01021741
201542I060603,599041,221955,0.88917,51.860667,42,3,2,1,08/03/2015,1,12:56,455,E10000012,6,0,6,40,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01021639
201542I060703,555501,233605,0.262723,51.979152,42,3,2,1,03/03/2015,3,08:40,463,E10000012,6,0,6,60,0,-1,-1,0,0,0,1,2,2,0,0,2,1,E01022099
201542I060803,581084,186981,0.610545,51.552651,42,3,1,1,06/03/2015,6,12:30,453,E10000012,3,13,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01021518
201542I060903,554553,227184,0.246047,51.921731,42,3,2,1,12/03/2015,5,08:32,463,E10000012,4,1051,6,60,3,4,6,0,0,0,1,1,1,0,0,2,1,E01022062
201542I061003,541277,199721,0.041951,51.678493,42,3,3,1,09/03/2015,2,21:30,456,E10000012,3,121,6,30,6,4,3,121,0,0,4,1,1,0,0,1,1,E01021806
201542I061203,560217,203938,0.317596,51.711299,42,3,2,1,10/03/2015,3,19:12,456,E10000012,6,0,6,60,0,-1,-1,0,0,0,6,1,1,0,0,2,1,E01021769
201542I061303,572493,187358,0.486942,51.558728,42,2,1,1,11/03/2015,4,08:35,450,E10000012,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01021311
201542I061403,595101,195592,0.817254,51.625313,42,3,2,1,04/03/2015,4,17:45,458,E10000012,6,0,6,30,3,4,6,0,0,4,7,1,1,0,0,2,2,E01021880
201542I061503,570154,188413,0.453744,51.568915,42,2,3,1,11/03/2015,4,18:15,450,E10000012,6,0,6,30,3,4,3,176,0,0,4,2,2,0,0,1,1,E01021318
201542I061603,577311,195120,0.560291,51.626956,42,2,3,1,11/03/2015,4,08:08,454,E10000012,3,1245,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01021594
201542I061703,571639,205968,0.483757,51.726159,42,2,2,1,07/03/2015,7,11:50,454,E10000012,3,1114,7,70,5,4,3,138,0,0,1,1,1,0,0,1,2,E01021563
201542I061803,602865,220312,0.943663,51.844538,42,3,2,1,08/03/2015,1,14:45,455,E10000012,6,0,6,40,0,-1,-1,0,0,0,1,1,1,0,0,2,2,E01021694
201542I061903,571961,191020,0.481067,51.591786,42,3,3,1,05/03/2015,5,10:11,450,E10000012,3,127,3,70,5,4,3,127,0,0,1,1,1,0,0,1,1,E01021267
201542I062003,583847,216475,0.665874,51.816659,42,3,3,2,13/03/2015,6,14:55,451,E10000012,3,12,3,70,5,4,6,0,0,0,1,1,1,0,0,2,1,E01021362
201542I062103,540908,199682,0.036601,51.678235,42,3,2,1,10/03/2015,3,07:20,456,E10000012,6,0,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01021806
201542I062201,545981,209296,0.113947,51.763322,42,3,1,1,21/01/2015,4,11:59,457,E10000012,6,0,6,40,1,4,6,0,0,0,1,1,1,0,0,1,1,E01021819
201542I062303,559400,193760,0.301142,51.620093,42,2,1,1,05/03/2015,5,11:00,452,E10000012,3,1023,6,30,0,-1,-1,0,0,8,1,1,1,0,0,1,1,E01021433
201542I062403,600355,223325,0.909021,51.872499,42,3,2,1,13/03/2015,6,13:20,455,E10000012,4,1025,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01021637
201542I062502,577478,183759,0.556965,51.524855,42,3,1,1,04/02/2015,4,08:24,453,E10000012,3,130,3,40,0,-1,-1,0,0,0,1,1,2,0,0,1,1,E01021503
201542I062603,546775,205573,0.123874,51.729664,42,3,3,2,09/03/2015,2,10:34,456,E10000012,4,1393,6,50,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01021761
201542I062803,575536,222931,0.548703,51.877317,42,2,2,1,10/03/2015,3,07:45,451,E10000012,4,1256,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01021365
201542I062903,569470,205982,0.45239,51.726943,42,3,2,1,10/03/2015,3,20:15,454,E10000012,6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,2,E01033138
2015440011430,477238,129401,-0.899268,51.058764,44,2,2,1,11/01/2015,1,16:19,497,E10000014,3,3,1,70,1,4,4,3006,0,0,4,1,1,0,0,2,1,E01022631
201542I063003,583583,186601,0.646351,51.548431,42,3,3,1,18/03/2015,4,15:15,460,E06000033,3,13,6,30,9,2,6,0,0,0,1,1,1,0,0,1,1,E01015913
201542I063103,563006,191096,0.351946,51.595128,42,3,2,1,10/03/2015,3,16:15,452,E10000012,3,128,6,30,3,4,6,0,0,0,1,1,1,0,0,2,2,E01021445
201542I063203,544346,196462,0.084963,51.64843,42,3,2,2,09/03/2015,2,22:00,456,E10000012,6,0,6,30,3,4,6,0,0,0,7,1,1,0,0,1,2,E01021776
201542I063303,578428,193261,0.575465,51.609906,42,3,2,1,11/03/2015,4,09:00,459,E10000012,3,1245,6,50,9,2,6,0,0,0,1,1,1,0,0,2,2,E01021920
201542I063402,540913,200950,0.037185,51.689627,42,3,2,2,08/02/2015,1,16:43,456,E10000012,6,0,6,40,3,4,6,0,0,0,1,1,1,0,0,2,1,E01021806
201542I063702,557814,178675,0.271489,51.485011,42,2,1,1,21/02/2015,7,22:38,462,E06000034,6,0,6,40,1,4,6,0,0,0,4,1,1,0,0,1,1,E01016012
201542I063802,544170,196328,0.082365,51.647271,42,3,1,1,16/02/2015,2,12:57,456,E10000012,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01021776
201542I063902,578794,183267,0.575665,51.520021,42,3,1,1,21/02/2015,7,17:30,453,E10000012,3,130,6,30,3,4,6,0,0,0,1,1,2,0,0,1,1,E01021485
201542I064002,568576,188166,0.430879,51.56717,42,2,2,5,26/02/2015,5,10:25,450,E10000012,6,0,6,30,2,4,6,0,0,0,1,1,2,0,0,1,1,E01021288
201542I064103,573277,191115,0.500092,51.592236,42,3,2,2,09/03/2015,2,09:37,450,E10000012,3,127,7,30,5,2,3,132,0,0,1,1,1,0,0,2,2,E01021307
201542I064203,618706,215871,1.170464,51.798696,42,3,2,1,10/03/2015,3,15:15,461,E10000012,4,1032,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01022048
201542I064303,574477,189804,0.516747,51.58009,42,3,1,1,12/03/2015,5,16:00,450,E10000012,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01021309
201542I064403,583614,186610,0.646802,51.548502,42,3,2,1,12/03/2015,5,15:50,460,E06000033,6,0,3,30,3,2,3,13,0,5,1,1,1,0,0,1,2,E01015815
201542I064503,575671,222537,0.550462,51.873736,42,3,3,1,11/03/2015,4,11:15,451,E10000012,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01021366
201542I064703,569496,205245,0.452407,51.720315,42,3,2,2,11/03/2015,4,06:50,454,E10000012,3,1016,1,60,1,4,3,1114,0,0,1,1,4,0,0,1,2,E01033138
201542I064803,577059,222498,0.570583,51.872947,42,3,2,1,12/03/2015,5,09:00,451,E10000012,4,1018,6,40,9,2,6,0,0,5,1,1,1,0,0,1,2,
201542I064903,592928,185124,0.780154,51.532052,42,3,2,1,14/03/2015,7,18:10,460,E06000033,6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,2,E01015918
