Accident_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,Vehicle_IMD_Decile
201506E098757,2,9,0,18,0,8,0,0,0,0,3,1,6,1,45,7,1794,1,11,-1,1,-1
201506E098766,1,9,0,9,0,8,0,0,0,0,4,1,6,2,25,5,1582,2,1,-1,-1,-1
201506E098766,2,9,0,18,0,8,0,0,0,0,1,1,6,1,51,8,-1,-1,-1,-1,1,-1
201506E098777,1,20,0,4,0,0,0,0,0,0,1,1,1,1,50,8,4462,2,1,-1,1,-1
201506E098780,1,9,0,15,0,1,0,0,0,0,4,1,6,1,27,6,1598,2,-1,-1,1,-1
201506E098780,2,1,0,9,0,5,0,0,0,0,1,1,6,1,46,8,-1,-1,-1,-1,1,-1
201506E098792,1,3,0,4,0,2,0,0,0,0,1,1,1,2,27,6,50,1,8,-1,1,-1
201506E098792,2,9,0,4,0,2,0,0,0,0,2,1,1,1,33,6,1995,2,10,-1,1,-1
201506E098804,1,9,0,14,0,1,0,0,0,0,4,1,6,1,24,5,1398,1,1,-1,1,-1
201506E098826,1,9,0,4,0,0,0,0,0,0,1,1,6,1,25,5,1686,2,8,-1,1,-1
201506E098826,2,8,0,4,0,0,0,0,0,0,2,1,1,1,43,7,1997,2,6,-1,1,-1
201506E098847,1,1,0,18,0,1,0,0,0,0,3,1,6,1,29,6,-1,-1,-1,-1,1,-1
201506E098847,2,9,0,18,0,1,0,0,0,0,1,1,6,2,43,7,1149,1,5,-1,1,-1
201506E098925,1,9,0,5,0,8,0,0,0,0,1,1,3,2,41,7,2967,2,1,-1,1,-1
201506E098925,2,9,0,18,0,8,0,0,0,0,1,1,2,2,23,5,999,1,1,-1,1,-1
201506E098925,3,9,0,2,0,1,0,0,0,0,3,1,6,2,51,8,1199,1,16,-1,1,-1
201506E098925,4,9,0,2,0,1,0,0,0,0,1,1,3,1,45,7,1796,1,12,-1,1,-1
201506E098925,5,9,0,2,0,1,0,0,0,0,1,1,6,1,51,8,1798,1,8,-1,1,-1
201506E099370,1,9,0,5,0,8,0,0,0,0,1,1,6,2,55,8,4000,1,8,-1,1,-1
201506E099370,2,1,0,18,0,8,0,0,0,0,3,1,4,1,15,3,-1,-1,-1,-1,-1,-1
201506E099429,1,9,0,4,0,0,0,0,0,0,1,1,6,2,37,7,1598,2,3,-1,-1,-1
201506E099429,2,9,0,4,0,0,0,0,0,0,2,1,6,1,26,6,1197,1,1,-1,1,-1
201506E099455,1,9,0,18,0,8,0,0,0,0,1,1,6,1,40,7,2995,1,5,-1,1,-1
201506E099455,2,9,0,9,0,8,0,0,0,0,3,1,6,2,48,8,1242,1,8,-1,1,-1
201506E099474,1,9,0,18,0,8,0,0,0,0,3,1,2,2,47,8,1896,2,7,-1,-1,-1
201506E099505,1,9,0,9,0,8,0,0,0,0,1,1,6,1,37,7,-1,-1,-1,-1,1,-1
201506E099505,2,9,0,18,0,8,0,0,0,0,3,1,6,1,41,7,1896,2,7,-1,1,-1
2015440000804,1,19,0,18,0,0,0,0,0,0,1,1,1,1,33,6,-1,-1,-1,-1,1,-1
2015440000804,2,1,0,18,0,0,0,0,0,0,2,1,6,1,32,6,-1,-1,-1,-1,2,-1
201506E099534,1,9,0,16,0,0,1,0,7,10,3,1,6,1,32,6,1396,1,11,-1,1,-1
201506E099637,1,9,0,18,0,0,0,0,0,0,1,1,6,3,-1,-1,1686,2,10,-1,-1,-1
201506E099637,2,9,0,3,0,0,0,0,0,0,2,1,6,1,33,6,-1,-1,-1,-1,1,-1
201506E099749,1,9,0,18,0,1,0,0,0,0,1,1,6,1,15,3,1242,1,8,-1,1,-1
201506E099749,2,9,0,9,0,1,0,0,0,0,2,1,6,2,31,6,1198,1,1,-1,1,-1
201506E099755,1,11,0,18,0,0,0,0,0,0,4,1,1,3,-1,-1,-1,-1,-1,-1,-1,-1
201506E099797,1,9,0,18,0,8,0,0,0,0,1,1,6,1,30,6,-1,-1,-1,-1,-1,-1
201506E099797,2,1,0,18,0,8,0,0,0,0,2,1,6,2,33,6,-1,-1,-1,-1,1,-1
201506E099800,1,9,0,18,0,8,0,0,0,0,1,1,6,1,27,6,1997,2,7,-1,1,-1
201506E099800,2,9,0,18,0,8,0,0,0,0,1,1,6,2,33,6,1390,1,3,-1,1,-1
201506E099833,1,9,0,18,0,0,1,0,0,0,1,1,6,1,26,6,1396,1,12,-1,-1,-1
201506E099833,2,9,0,18,0,0,0,0,0,0,2,1,6,2,51,8,1587,1,10,-1,1,-1
201506E099833,3,10,0,18,0,0,0,0,0,0,2,1,1,1,33,6,-1,-1,-1,-1,1,-1
201506E099888,1,9,0,18,0,0,0,0,0,0,1,1,6,1,25,5,-1,-1,-1,-1,1,-1
201506E099976,1,1,0,18,0,8,0,0,0,0,1,1,1,1,13,3,-1,-1,-1,-1,1,-1
201506E099976,2,9,0,18,0,8,0,0,0,0,1,1,6,2,51,8,998,1,1,-1,1,-1
201506E099978,1,9,0,18,0,0,0,0,0,0,1,1,2,1,34,6,-1,-1,-1,-1,1,-1
201506E099978,2,9,0,12,0,0,0,0,0,0,2,1,2,2,25,5,1229,1,10,-1,1,-1
201506E099988,1,9,0,9,0,8,0,0,0,0,1,1,2,2,40,7,1598,1,10,-1,1,-1
201506E099988,2,1,0,18,0,8,0,0,0,0,1,1,2,1,33,6,-1,-1,-1,-1,1,-1
201506EM06421,1,9,0,18,0,8,0,0,0,0,1,1,2,2,65,9,998,1,8,-1,1,-1
201506EM06421,2,9,0,7,0,6,0,0,0,0,3,1,2,2,27,6,1086,1,7,-1,1,-1
201506F000007,1,9,0,18,0,0,0,4,0,0,1,1,1,1,51,8,1997,2,2,-1,3,-1
201506F000007,2,9,0,3,0,0,0,0,0,0,2,1,1,1,37,7,998,1,1,-1,1,-1
2015440003143,1,9,0,18,0,0,0,0,2,7,1,1,2,1,33,6,1400,1,16,-1,1,-1
2015440003143,2,19,0,18,0,0,0,0,0,0,4,1,6,1,52,8,1996,2,1,-1,1,-1
201506F000007,3,9,0,3,0,0,0,0,0,0,3,1,1,1,35,6,1995,2,3,-1,1,-1
201506F000110,1,9,0,18,0,0,0,0,1,10,1,1,6,2,26,6,-1,-1,-1,-1,-1,-1
201506F000171,1,9,0,18,0,2,0,0,0,0,1,1,6,1,40,7,1198,1,10,-1,1,-1
201506F000171,2,9,0,18,0,2,0,0,0,0,2,1,1,2,40,7,1560,2,5,-1,1,-1
201506F000171,3,9,0,18,0,2,0,0,0,0,2,1,2,2,50,8,1598,1,4,-1,1,-1
201506F000182,1,9,0,18,0,8,0,0,0,0,1,1,6,1,31,6,2148,2,6,-1,1,-1
201506F000182,2,9,0,8,0,5,0,0,0,0,2,1,1,2,31,6,1461,2,1,-1,1,-1
201506F000440,1,9,0,5,0,6,0,0,0,0,4,1,1,2,34,6,998,1,6,-1,1,-1
2015440011430,1,9,0,9,0,8,0,0,0,0,1,1,6,1,52,8,2495,2,9,-1,3,-1
2015440011430,2,5,0,18,0,8,0,0,0,0,4,1,6,1,50,8,680,1,8,-1,1,-1
201506F000440,2,3,0,16,0,8,0,0,0,0,3,1,6,1,17,4,125,1,5,-1,1,-1
201506F000518,1,9,0,7,2,5,0,0,0,0,4,1,6,1,68,10,1997,1,12,-1,3,-1
201506F000518,2,11,0,18,2,8,0,0,0,0,1,1,1,1,68,10,9360,2,6,-1,1,-1
201506F000542,1,5,0,17,0,8,2,0,1,4,4,1,6,1,30,6,599,1,15,-1,-1,-1
201506F000542,2,9,0,2,9,8,0,0,0,0,0,1,6,2,48,8,1796,1,8,-1,-1,-1
201506F000588,1,9,0,7,0,6,1,0,7,1,1,1,6,1,26,6,1598,1,8,-1,1,-1
201506F000588,2,9,0,7,0,6,0,0,0,0,0,1,1,1,43,7,2993,2,2,-1,-1,-1
201506F000704,1,9,0,5,0,8,0,0,0,0,1,1,6,1,31,6,1598,1,1,-1,1,-1
2015440273775,1,9,0,18,0,8,0,0,0,0,4,1,1,1,33,6,1248,2,1,-1,1,-1
2015440273775,2,9,0,18,0,8,0,0,0,0,1,1,6,2,18,4,1968,2,1,-1,1,-1
2015440273775,3,1,1,18,0,8,0,0,0,0,1,1,6,2,18,4,1968,2,1,-1,1,-1
201506F000704,2,19,0,18,0,8,5,0,1,1,3,1,1,1,58,9,2143,2,1,-1,1,-1
201506F000714,1,9,0,18,0,8,0,0,0,0,1,1,1,1,40,7,1598,1,12,-1,1,-1
201506F000714,2,9,0,9,0,8,0,0,0,0,3,1,2,2,44,7,1560,2,1,-1,1,-1
201506F000738,1,9,0,8,0,6,0,0,0,0,2,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
201506F000835,1,9,0,7,0,6,0,0,0,0,1,1,1,1,55,8,-1,-1,-1,-1,1,-1
201506F000835,2,1,0,18,0,1,0,0,0,0,1,1,6,2,27,6,-1,-1,-1,-1,1,-1
201506F001017,1,9,0,9,0,8,0,0,0,0,1,1,6,1,36,7,2685,2,11,-1,1,-1
201506F001017,2,1,0,18,0,8,0,0,0,0,3,1,6,2,36,7,-1,-1,-1,-1,1,-1
201506F001180,1,9,0,18,0,4,0,10,3,4,1,1,6,1,30,6,698,1,8,-1,-1,-1
201506F001180,2,9,0,18,0,1,0,0,0,0,0,1,1,1,41,7,1396,2,1,-1,-1,-1
201506F001341,1,9,0,1,0,8,0,0,0,0,2,1,3,2,30,6,1363,2,13,-1,-1,-1
201506F001566,1,9,0,18,0,8,0,0,1,0,3,1,6,2,28,6,1995,2,9,-1,1,-1
201506F001566,2,18,0,18,1,8,0,0,0,0,1,1,1,1,54,8,-1,-1,-1,-1,1,-1
201506F001605,1,9,0,3,0,8,0,0,0,0,1,1,1,1,53,8,2360,1,14,-1,1,-1
201506F001605,2,9,0,4,0,8,0,0,0,0,4,1,2,2,50,8,1242,1,3,-1,1,-1
201506F001642,1,9,0,18,0,0,0,0,0,0,0,1,1,3,30,6,-1,-1,-1,-1,-1,-1
201506F001642,2,9,0,12,0,0,0,0,0,0,0,1,1,1,24,5,1598,1,3,-1,1,-1
201506F001695,1,5,0,14,0,1,0,0,0,0,4,1,6,1,49,8,399,1,25,-1,1,-1
201506F001695,2,9,0,9,0,1,0,0,0,0,1,1,6,1,52,8,1796,1,8,-1,1,-1
201506F001730,1,9,0,9,0,8,0,0,0,0,4,1,6,1,45,7,1796,1,15,-1,-1,-1
201506F001730,2,3,0,18,0,8,5,0,0,0,1,1,6,1,26,6,125,1,2,-1,-1,-1
201506F001764,1,9,0,9,0,8,0,0,0,0,1,1,6,1,45,7,1596,1,11,-1,1,-1
201506F001764,2,9,0,18,0,8,0,0,0,0,1,1,1,1,46,8,-1,-1,-1,-1,1,-1
201506F001764,3,9,0,18,0,8,0,0,0,0,3,1,6,1,23,5,1461,2,11,-1,1,-1
201506F001764,4,9,0,18,0,8,0,0,0,0,1,1,6,2,30,6,973,1,14,-1,1,-1
201506F001774,1,5,0,13,0,8,0,0,0,0,1,1,6,1,47,8,1585,2,6,-1,3,-1
201506F001774,2,9,0,9,0,8,0,0,7,10,2,1,2,2,73,10,998,1,25,-1,1,-1
201506F001927,1,9,0,18,0,0,0,0,0,0,1,1,6,2,41,7,1360,1,12,-1,1,-1
201506F001927,2,9,0,2,9,0,0,0,0,0,2,1,6,1,46,8,1999,1,-1,-1,1,-1
201506F001977,1,9,0,9,0,8,0,0,0,0,1,1,6,2,25,5,1390,1,8,-1,1,-1
201506F001977,2,1,0,4,0,8,0,0,0,0,4,1,1,1,51,8,-1,-1,-1,-1,1,-1
201506F002062,1,5,0,13,0,0,1,0,0,0,2,1,6,1,25,5,748,1,9,-1,2,-1
201506F002062,2,9,0,18,0,0,0,0,0,0,0,1,6,2,26,6,1399,2,3,-1,1,-1
201506F002121,1,3,0,18,0,6,5,0,0,0,4,1,6,1,27,6,125,1,-1,-1,1,-1
201506F002121,2,9,0,18,0,8,0,0,0,0,1,1,6,1,30,6,1686,2,5,-1,1,-1
201506F002125,1,3,0,18,0,0,0,0,0,0,1,1,6,1,36,7,124,1,16,-1,1,-1
201506F002125,2,5,0,18,0,0,0,0,0,0,2,1,6,1,33,6,996,1,13,-1,1,-1
201506F002125,3,9,0,18,0,0,0,0,0,0,3,1,6,1,49,8,1984,1,20,-1,1,-1
201506F002125,4,9,0,4,0,0,0,0,0,0,0,1,1,1,66,10,1598,2,2,-1,1,-1
201506F002212,1,5,0,13,0,0,0,0,0,0,1,1,6,1,34,6,599,1,15,-1,1,-1
201506F002212,2,9,0,6,0,0,0,0,0,0,4,1,1,1,65,9,1997,2,11,-1,1,-1
201506F002238,1,9,0,18,0,8,0,0,0,0,2,1,6,1,50,8,1968,2,2,-1,1,-1
201506F002238,2,9,0,18,0,8,0,0,0,0,1,1,6,2,24,5,998,1,1,-1,1,-1
201506F002321,1,1,0,18,0,0,0,0,0,0,1,1,6,1,27,6,-1,-1,-1,-1,1,-1
201506F002321,2,19,0,4,0,0,0,0,0,0,1,1,1,1,31,6,1598,2,-1,-1,-1,-1
201506F002326,1,9,0,13,0,8,0,0,0,0,4,1,6,1,30,6,1968,1,10,-1,-1,-1
201506F002326,2,9,0,9,0,8,0,0,0,0,3,1,6,1,31,6,996,1,5,-1,-1,-1
201506F002326,3,9,0,18,0,8,0,0,0,0,0,1,1,1,30,6,1396,2,1,-1,-1,-1
201506F002511,1,9,0,18,0,8,0,0,0,0,1,1,1,1,27,6,-1,-1,-1,-1,-1,-1
201506F002511,2,9,0,5,0,5,0,0,0,0,1,1,2,2,37,7,1598,1,11,-1,1,-1
201506F002588,1,9,0,3,0,4,0,0,0,0,2,1,6,2,74,10,1197,1,1,-1,-1,-1
201506F002588,2,90,0,3,0,4,0,0,0,0,1,1,1,1,30,6,-1,-1,-1,-1,-1,-1
201506F002690,1,9,0,16,0,0,5,10,0,1,1,1,6,1,21,5,2148,2,10,-1,1,-1
201506F002748,1,9,0,7,0,6,0,0,0,0,1,1,6,2,92,11,1124,1,19,-1,1,-1
201506F002748,2,21,0,18,0,8,0,0,0,0,4,1,1,1,32,6,9200,2,8,-1,1,-1
201506F002802,1,9,0,4,0,0,0,0,0,0,1,1,6,2,65,9,1995,2,3,-1,1,-1
201506F002866,1,9,0,14,0,0,0,4,0,0,1,2,6,1,30,6,1398,1,8,-1,-1,-1
201506F002866,2,9,0,14,0,0,0,0,0,0,1,1,6,1,28,6,1984,1,1,-1,1,-1
201506F002866,3,9,0,2,0,0,0,0,0,0,3,1,6,3,43,7,1896,2,6,-1,-1,-1
201506F002892,1,9,0,18,0,1,0,0,0,0,1,1,6,1,57,9,1747,1,16,-1,1,-1
201506F002892,2,9,0,3,0,1,0,0,0,0,2,1,6,1,37,7,1461,2,1,-1,1,-1
201506F002892,3,9,0,3,0,1,0,0,0,0,2,1,6,1,68,10,1229,1,3,-1,1,-1
201506F002892,4,9,0,3,0,1,0,0,0,0,2,1,6,1,60,9,-1,-1,-1,-1,-1,-1
201506F002961,1,9,0,3,0,2,0,0,0,0,3,1,6,1,20,4,1499,1,-1,-1,1,-1
201506F002961,2,9,0,18,0,2,0,0,0,0,4,1,6,2,32,6,1200,1,2,-1,1,-1
201506F002975,1,9,0,5,0,6,0,0,0,0,1,1,6,1,55,8,898,1,1,-1,1,-1
201506F003017,1,9,0,18,0,0,0,0,0,0,2,1,6,1,34,6,1796,1,9,-1,1,-1
201506F003017,2,9,0,18,0,0,0,0,0,0,0,1,6,1,26,6,1390,1,3,-1,1,-1
201506F003017,3,9,0,18,0,0,1,0,0,0,1,1,6,1,49,8,-1,-1,-1,-1,1,-1
201506F003289,1,9,0,18,0,1,0,0,0,0,1,1,6,1,22,5,2204,2,9,-1,1,-1
201506F003289,2,9,0,3,0,1,0,0,0,0,2,1,6,2,68,10,998,1,9,-1,1,-1
201506F003319,1,5,0,18,0,1,0,0,0,10,3,1,6,1,19,4,-1,-1,-1,-1,1,-1
201506F003320,1,1,0,18,0,8,0,0,0,0,1,1,6,1,24,5,-1,-1,-1,-1,1,-1
201506F003320,2,9,0,18,0,8,0,0,0,0,4,1,6,2,46,8,1968,2,2,-1,1,-1
201506F003397,1,9,0,18,0,2,0,0,0,0,1,1,6,1,32,6,1998,1,20,-1,1,-1
201506F003397,2,9,0,18,0,1,0,0,0,0,1,1,6,1,81,11,1753,2,12,-1,1,-1
201506F003417,1,9,0,9,4,5,0,0,0,0,1,1,1,2,49,8,1248,2,7,-1,1,-1
201506F003417,2,1,0,18,4,8,2,0,1,0,2,1,1,1,40,7,-1,-1,-1,-1,1,-1
201506F003493,1,9,0,16,0,0,0,0,7,10,1,1,6,1,68,10,1124,1,3,-1,1,-1
201506F003493,2,9,0,17,0,0,0,0,0,0,1,1,6,1,56,9,1497,1,14,-1,1,-1
201506F003590,1,9,0,9,0,8,0,0,0,0,1,1,6,1,75,10,2720,2,7,-1,1,-1
201506F003590,2,9,0,18,0,8,0,0,0,0,1,1,6,1,58,9,1598,1,2,-1,1,-1
201506F003724,1,9,0,9,0,6,0,0,0,0,3,1,6,1,31,6,1956,2,1,-1,1,-1
201506F003724,2,9,0,18,0,8,0,0,0,0,1,1,6,1,24,5,1686,2,8,-1,1,-1
201506F003728,1,5,0,18,0,1,0,0,0,0,1,1,6,1,49,8,1157,1,9,-1,1,-1
201506F003728,2,9,0,3,0,1,0,0,0,0,2,1,6,2,22,5,998,1,2,-1,1,-1
201506F003741,1,1,0,5,0,1,0,0,0,0,3,1,6,1,9,2,-1,-1,-1,-1,1,-1
201506F003741,2,9,0,18,0,1,0,0,0,0,1,1,6,2,18,4,1149,1,10,-1,1,-1
201506F003846,1,9,0,18,0,0,0,0,0,0,4,1,6,1,27,6,1242,1,9,-1,1,-1
201506F003863,1,19,0,9,0,5,0,0,0,0,4,1,1,1,32,6,-1,-1,-1,-1,1,-1
201506F003863,2,3,0,18,0,8,0,0,0,0,1,1,2,1,40,7,124,1,5,-1,1,-1
201506F003865,1,9,0,18,0,8,1,10,1,0,0,1,6,1,38,7,1600,1,16,-1,1,-1
201506F003865,2,9,0,9,0,8,0,0,0,0,0,1,6,2,30,6,1968,2,1,-1,-1,-1
201506F003879,1,3,0,18,0,2,0,0,0,0,1,1,6,1,26,6,124,1,5,-1,-1,-1
201506F003879,2,9,0,6,0,2,0,0,0,0,1,1,1,1,49,8,1497,8,7,-1,1,-1
201506F003919,1,9,0,15,0,1,0,0,0,0,4,1,6,1,47,8,1390,1,12,-1,1,-1
201506F003919,2,1,0,18,0,1,5,0,0,0,3,1,1,1,32,6,-1,-1,-1,-1,1,-1
201506F003938,1,9,0,9,0,8,0,0,0,0,4,1,6,2,75,10,1360,1,8,-1,1,-1
201506F003938,2,3,0,18,0,8,0,0,0,0,1,1,6,1,55,8,124,1,1,-1,1,-1
201506F003966,1,9,0,18,0,8,0,0,0,0,4,1,6,1,33,6,1329,1,2,-1,1,-1
201506F003974,1,9,0,18,0,8,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
201506F003974,2,1,0,9,0,8,0,0,0,0,1,1,6,1,20,4,-1,-1,-1,-1,1,-1
201506F003976,1,5,0,18,0,8,5,0,0,0,1,1,6,1,37,7,649,1,1,-1,1,-1
201506F003976,2,9,0,18,0,8,0,0,0,0,3,1,1,1,42,7,-1,-1,-1,-1,1,-1
201506F003984,1,9,0,9,0,8,0,0,0,0,1,1,6,2,20,4,998,1,2,-1,1,-1
201506F003984,2,3,0,13,0,8,0,0,0,0,4,1,6,1,17,4,124,1,4,-1,1,-1
